event_id,user_id,org_id,event_timestamp,input_word_count
rt_wodo8p2brmqk,user_0127,org_009,2025-11-01 08:45:00+0000,352
rt_09mymxhe9yti,user_0336,org_024,2025-10-15 09:14:00+0000,133
rt_bgqoztau1d6y,user_0277,org_021,2025-11-30 10:17:00+0000,669
rt_wantvr4fjsbn,user_0021,org_002,2025-11-27 08:37:00+0000,1171
rt_wg71l6gublld,user_0218,org_016,2025-10-22 12:35:00+0000,187
rt_rf2wmrjlsi84,user_0325,org_023,2025-11-05 14:02:00+0000,222
rt_ml5zuxu54esz,user_0073,org_006,2025-10-27 12:01:00+0000,228
rt_1vsk4lijc283,user_0130,org_010,2025-11-06 10:50:00+0000,269
rt_hwy4ivpe3zg9,user_0291,org_021,2025-11-28 10:55:00+0000,1001
rt_nc6fs87veued,user_0029,org_002,2025-10-29 16:06:00+0000,856
rt_cebbmcr3he2m,user_0230,org_017,2025-11-15 08:27:00+0000,757
rt_z8wi053xoim9,user_0209,org_016,2025-11-04 18:00:00+0000,1012
rt_uk6dysks2wuk,user_0133,org_010,2025-11-30 16:51:00+0000,93
rt_xvnmr1yvcb6w,user_0219,org_016,2025-11-16 19:59:00+0000,344
rt_gmdin1ckdcbh,user_0331,org_024,2025-10-24 11:17:00+0000,1069
rt_zu6qrelkhtmc,user_0142,org_010,2025-10-25 17:21:00+0000,107
rt_50w308cr74i6,user_0033,org_002,2025-09-23 16:02:00+0000,847
rt_80oplvg6cgmz,user_0048,org_004,2025-11-02 14:31:00+0000,481
rt_yqpp3vnb2jr4,user_0158,org_012,2025-10-25 07:21:00+0000,505
rt_bpe8tjtl8f18,user_0029,org_002,2025-09-21 13:45:00+0000,566
rt_vsc4j6lwkfl9,user_0180,org_013,2025-11-03 09:35:00+0000,800
rt_svm4j1i7ppp8,user_0127,org_009,2025-11-22 10:40:00+0000,349
rt_fu2b93953q85,user_0236,org_018,2025-11-17 16:33:00+0000,964
rt_umuycqfa9gat,user_0309,org_022,2025-11-05 19:23:00+0000,570
rt_hglj0h8pl4hg,user_0043,org_003,2025-11-19 13:54:00+0000,1037
rt_17364lcq3phe,user_0214,org_016,2025-10-09 09:28:00+0000,882
rt_2cxucryeqx07,user_0185,org_013,2025-11-10 11:38:00+0000,198
rt_x0itydyab2ej,user_0086,org_007,2025-10-25 12:43:00+0000,623
rt_nn16uxf5gzpl,user_0003,org_001,2025-10-23 15:08:00+0000,933
rt_zqsf6fgdgvsv,user_0074,org_006,2025-10-23 13:57:00+0000,1110
rt_2r1abbuxxlo5,user_0058,org_005,2025-10-04 08:31:00+0000,772
rt_g1sll1il4hn0,user_0189,org_014,2025-09-30 18:24:00+0000,119
rt_gv7ome30wjvj,user_0329,org_024,2025-11-04 16:41:00+0000,254
rt_wks0slwbtths,user_0205,org_015,2025-11-24 17:39:00+0000,461
rt_x0eyvoodv73h,user_0262,org_020,2025-10-21 11:44:00+0000,522
rt_u194ma2qnaeo,user_0162,org_012,2025-11-10 08:16:00+0000,570
rt_alfemq8ztpbh,user_0291,org_021,2025-11-10 14:53:00+0000,687
rt_51ep0y4f74h5,user_0205,org_015,2025-10-04 12:58:00+0000,444
rt_uyvuabp4j3sw,user_0300,org_022,2025-09-30 08:52:00+0000,654
rt_u3wytf2h2l9f,user_0241,org_018,2025-11-17 16:10:00+0000,100
rt_3h37k5id109r,user_0025,org_002,2025-11-08 18:05:00+0000,611
rt_o8z1swxpvxqt,user_0208,org_016,2025-11-08 14:50:00+0000,807
rt_or7soxs9vswf,user_0143,org_010,2025-10-18 11:01:00+0000,192
rt_babadt8z009n,user_0316,org_023,2025-11-02 16:36:00+0000,117
rt_1vu9qmkq0wbc,user_0102,org_008,2025-11-02 10:04:00+0000,437
rt_xnzfr39mek35,user_0139,org_010,2025-10-15 08:54:00+0000,1148
rt_9l6jvwp6qvox,user_0342,org_025,2025-10-21 13:20:00+0000,1095
rt_j0gcv16umxzu,user_0104,org_008,2025-11-08 09:23:00+0000,487
rt_43yxiovlaesi,user_0031,org_002,2025-11-21 14:35:00+0000,887
rt_2bsh6jor59pd,user_0242,org_018,2025-11-12 12:45:00+0000,93
rt_dy6ohr0jvgjk,user_0327,org_023,2025-11-02 14:04:00+0000,284
rt_1m15w31b4zud,user_0074,org_006,2025-10-08 17:34:00+0000,679
rt_h3cej75115tw,user_0269,org_020,2025-11-04 16:22:00+0000,1116
rt_75033v7v3e9e,user_0232,org_017,2025-11-11 11:34:00+0000,664
