event_id,user_id,org_id,event_timestamp,transformation_type,input_word_count
tt_4r5x7ciq1qft,user_0271,org_020,2025-11-17 09:40:00+0000,shorten,17
tt_v299ka7ivkg6,user_0061,org_005,2025-10-22 19:28:00+0000,summarise,174
tt_5mtb6nz51gv6,user_0130,org_010,2025-10-28 10:39:00+0000,expand,256
tt_cs16uurt4qp0,user_0015,org_001,2025-11-22 16:33:00+0000,expand,75
tt_0mmnqqkn2705,user_0104,org_008,2025-11-14 07:29:00+0000,rewrite,424
tt_rm4saw0dwwwp,user_0091,org_007,2025-11-28 19:26:00+0000,summarise,189
tt_v7vlz40isb03,user_0139,org_010,2025-10-02 13:49:00+0000,summarise,264
tt_530ex4fp9umm,user_0291,org_021,2025-10-20 09:29:00+0000,expand,121
tt_9c2tp0ajjnt1,user_0199,org_015,2025-11-01 14:42:00+0000,improve_clarity,146
tt_vh0spgk7yp18,user_0163,org_012,2025-11-16 20:07:00+0000,tone_change,678
tt_0lop8tedl0u4,user_0055,org_005,2025-09-17 12:34:00+0000,improve_clarity,584
tt_txc7266w5p5m,user_0327,org_023,2025-10-26 11:45:00+0000,shorten,202
tt_z6xt01l815mc,user_0355,org_025,2025-11-20 15:08:00+0000,rewrite,407
tt_cjgsawdgb6yl,user_0301,org_022,2025-11-12 10:14:00+0000,bulletise,591
tt_a02hf73e90li,user_0121,org_009,2025-11-19 13:43:00+0000,shorten,180
tt_yqzra0p2wpcl,user_0351,org_025,2025-10-02 10:42:00+0000,summarise,429
tt_fkajj2ganomp,user_0027,org_002,2025-09-27 18:37:00+0000,tone_change,22
tt_71i1dttopy7v,user_0022,org_002,2025-11-04 08:29:00+0000,expand,120
tt_4x21hrrrvfja,user_0177,org_013,2025-11-27 08:38:00+0000,summarise,36
tt_45du2ykn7sdc,user_0262,org_020,2025-10-24 07:18:00+0000,expand,669
tt_wu8bk4314uqt,user_0311,org_023,2025-11-22 19:02:00+0000,expand,125
tt_c9t9zxq3b3np,user_0266,org_020,2025-09-22 12:46:00+0000,tone_change,409
tt_5h6pls27h2z7,user_0152,org_011,2025-11-27 09:31:00+0000,rewrite,22
